red_fighter,blue_fighter,red_odds,blue_odds,red_winner,red_return,blue_return,odds_diff,age_diff,reach_diff,height_diff,wins_diff,losses_diff,rounds_diff,title_bout_diff,ko_diff,submission_diff,win_streak_diff,lose_streak_diff,longest_win_streak_diff,sig_str_diff,sub_att_diff,td_diff,rank_diff,fight_date,title_bout,weight_class,gender,number_of_rounds,blue_current_lose_streak,blue_current_win_streak,blue_longest_win_streak,blue_losses,blue_total_rounds_fought,blue_total_title_bouts,blue_wins_by_ko,blue_wins_by_submission,blue_wins,blue_stance,blue_height_cms,blue_reach_cms,red_current_lose_streak,red_current_win_streak,red_longest_win_streak,red_losses,red_total_rounds_fought,red_total_title_bouts,red_wins_by_ko,red_wins_by_submission,red_wins,red_stance,red_height_cms,red_reach_cms,red_age,blue_age,b_match_wc_rank,r_match_wc_rank
Alexandre Pantoja,Kai Asakura,-250,215,t,1.4,0,-465,3,-5.07999999999998,-7.62,12,3,42,3,2,4,6,0,6,-4.41,-0.8,-2.61,-20,2024-12-07,t,Flyweight,MALE,5,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,0,6,6,3,42,3,2,4,12,Orthodox,165.1,170.18,34,31,20,0
Shavkat Rakhmonov,Ian Machado Garry,-210,295,t,1.4762,0,-505,3,7.62,-5.08000000000001,-2,0,-9,0,-2,5,-2,0,-2,1.38,-1.5,-0.72,-4,2024-12-07,f,Welterweight,MALE,3,0,8,8,0,20,0,3,0,8,Orthodox,190.5,187.96,0,6,6,0,11,0,1,5,6,Orthodox,185.42,195.58,30,27,7,3
Ciryl Gane,Alexander Volkov,-380,300,t,1.2632,0,-680,-2,2.54000000000002,-7.62,-3,-2,-11,3,-2,1,-3,0,3,-0.36,-0.3,-0.13,-1,2024-12-07,f,Heavyweight,MALE,3,0,4,4,4,44,0,6,1,12,Orthodox,200.66,203.2,0,1,7,2,33,3,4,2,9,Orthodox,193.04,205.74,34,36,3,2
Bryce Mitchell,Kron Gracie,-950,625,t,1.1053,0,-1575,-6,0,2.54000000000002,6,0,15,0,0,0,0,-1,5,1.44,-1.1,-2.98,-7,2024-12-07,f,Featherweight,MALE,3,2,0,1,2,7,0,0,1,1,Southpaw,175.26,177.8,1,0,6,2,22,0,0,1,7,Southpaw,177.8,177.8,30,36,20,13
Nate Landwehr,Dooho Choi,-130,110,f,0,2.1,-240,3,5.07999999999998,-2.54000000000002,1,0,2,0,-3,2,0,0,0,-1.84,-0.2,-0.25,0,2024-12-07,f,Featherweight,MALE,3,0,1,3,3,15,0,4,0,4,Orthodox,177.8,177.8,0,1,3,3,17,0,1,2,5,Orthodox,175.26,182.88,36,33,20,20
Dominick Reyes,Anthony Smith,-380,300,t,1.2632,0,-680,-2,2.54000000000002,0,-8,-8,-42,1,-3,-5,1,-1,3,-1.63,0.3,0.11,-1,2024-12-07,f,Light Heavyweight,MALE,3,1,0,3,12,63,1,7,6,15,Orthodox,193.04,193.04,0,1,6,4,21,2,4,1,7,Southpaw,193.04,195.58,34,36,13,12
Vicente Luque,Themba Gorimbo,-650,-162,t,1.1538,0,-488,0,-5.08000000000001,-5.07999999999998,11,5,35,0,7,5,-4,1,2,-1.96,0,3.89,-6,2024-12-07,f,Welterweight,MALE,3,0,4,4,1,12,0,1,0,4,Orthodox,185.42,195.58,1,0,6,6,47,0,8,5,15,Orthodox,180.34,190.5,33,33,20,14
Movsar Evloev,Aljamain Sterling,-238,195,t,1.4202,0,-433,-5,2.53999999999999,0,-8,-4,-33,-5,-2,-4,7,0,-1,0.18,0.5,-2.44,-4,2024-12-07,f,Featherweight,MALE,3,0,1,9,4,57,5,2,4,16,Orthodox,170.18,180.34,0,8,8,0,24,0,0,0,8,Orthodox,170.18,182.88,30,35,9,5
Randy Brown,Bryan Battle,150,-180,f,0,1.5556,330,4,2.53999999999999,5.08000000000001,7,4,27,0,0,1,0,0,1,1.06,-0.1,0.24,0,2024-12-07,f,Welterweight,MALE,3,0,3,3,1,16,0,3,2,6,Orthodox,185.42,195.58,0,3,4,5,43,0,3,3,13,Orthodox,190.5,198.12,34,30,20,20
Chris Weidman,Eryk Anders,-112,-108,f,0,1.9259,-4,3,7.62,2.54000000000002,4,-1,2,5,0,3,0,0,7,0.23,-0.7,-1.65,0,2024-12-07,f,Catch Weight,MALE,3,0,1,2,8,44,0,4,0,8,Southpaw,185.42,190.5,0,1,9,7,46,5,4,3,12,Orthodox,187.96,198.12,40,37,20,20
